"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"2008 1st quarter";"  268228";"  169294";"   99197";"   75911";"   22946";"  268228";"  153158";"  117671";"   78487";"   39182";"   36273";"   29182";"    7045";"   -1232";"  115350";"   90273";"   24572"
"Prices of 2015";"2008 2nd quarter";"  274708";"  172251";"  102912";"   74771";"   26648";"  274708";"  160073";"  121867";"   79708";"   42153";"   39171";"   31861";"    7263";"   -1325";"  114635";"   87942";"   26284"
"Prices of 2015";"2008 3rd quarter";"  267526";"  166679";"  101111";"   75097";"   25688";"  267526";"  155442";"  119083";"   79519";"   39544";"   34862";"   28587";"    6218";"    1254";"  112375";"   86985";"   25121"
"Prices of 2015";"2008 4th quarter";"  272748";"  172713";"  100556";"   73796";"   26499";"  272748";"  160123";"  121939";"   77848";"   44058";"   36429";"   29389";"    6977";"    1583";"  113094";"   85533";"   27395"
"Prices of 2015";"2008";" 1083179";"  680926";"  403882";"  299641";"  101819";" 1083179";"  628784";"  480563";"  315556";"  164923";"  146982";"  119280";"   27504";"     299";"  455392";"  350698";"  103361"
"Prices of 2015";"2009 1st quarter";"  252904";"  162839";"   90431";"   66965";"   23405";"  252904";"  151696";"  118102";"   77286";"   40841";"   34750";"   27637";"    7094";"   -1469";"  101806";"   77578";"   23927"
"Prices of 2015";"2009 2nd quarter";"  255264";"  164243";"   91555";"   63783";"   26687";"  255264";"  155059";"  121810";"   77618";"   44204";"   35818";"   28388";"    7433";"   -2799";"  100543";"   74612";"   25753"
"Prices of 2015";"2009 3rd quarter";"  252554";"  160301";"   92599";"   66457";"   26031";"  252554";"  150263";"  119929";"   78189";"   41742";"   31265";"   24314";"    6946";"    -988";"  102740";"   78588";"   23970"
"Prices of 2015";"2009 4th quarter";"  265713";"  168581";"   97650";"   70420";"   27057";"  265713";"  155147";"  122384";"   76522";"   45865";"   32307";"   25083";"    7239";"     475";"  110977";"   84413";"   26365"
"Prices of 2015";"2009";" 1026425";"  655958";"  372353";"  267641";"  103218";" 1026425";"  612161";"  482223";"  309606";"  172641";"  134388";"  105685";"   28722";"   -4765";"  416038";"  315183";"  100006"
