 STN,YYYYMMDD,   SQ,   SP,    Q,   DR,   RH,  VVN,  VVX,   NG
  260,19910107,   40,   50,  286,    5,   12,   40,   80,    6
  260,19910108,   35,   44,  261,   37,   29,   58,   80,    7
  260,19910109,   32,   40,  248,   33,   48,   57,   80,    5
  260,19910110,   -1,    0,  152,   23,   22,   57,   75,    7
  260,19910111,    0,    0,  216,   14,   15,   60,   75,    6
  260,19910112,   -1,    0,  119,   16,   18,   40,   80,    5
  260,19910113,   74,   91,  442,    0,    0,   65,   80,    1
  260,19910114,   64,   78,  516,    0,    0,   49,   75,    1
  260,19910115,   79,   96,  503,    0,    0,   63,   80,    0
  260,19910116,   76,   92,  473,    0,    0,   60,   68,    0
  260,19910117,   70,   84,  432,    0,    0,   56,   72,    0
  260,19910118,   67,   80,  441,    0,    0,    8,   56,    0
  260,19910119,   11,   13,  152,   38,   29,    6,   68,    4
  260,19910120,    0,    0,  134,   10,    6,    1,   50,    7
  260,19910121,   26,   31,  307,    3,    1,   14,   75,    6
  260,19910122,   11,   13,  273,    0,   -1,   35,   57,    6
  260,19910123,    0,    0,   57,    0,   -1,   18,   50,    7
  260,19910124,    0,    0,  154,    0,    0,   40,   57,    6
  260,19910125,    0,    0,   71,    0,    0,   18,   65,    7
  260,19910126,    0,    0,   65,    0,   -1,   14,   62,    8
  260,19910127,    0,    0,  243,    0,    0,   15,   60,    8
  260,19910128,   34,   38,  412,    0,    0,   22,   60,    5
  260,19910129,   56,   63,  520,    0,    0,    5,   50,    2
  260,19910130,   50,   56,  549,    0,    0,   45,   59,    5
  260,19910131,   68,   75,  494,    0,    0,   35,   57,    2
  260,19910201,    0,    0,  172,    0,   -1,   22,   45,    5
  260,19910202,   72,   79,  569,    0,    0,   20,   60,    2
  260,19910203,   64,   70,  561,    0,    0,   19,   45,    0
  260,19910204,   75,   81,  575,    0,    0,   25,   62,    0
  260,19910205,   76,   82,  667,    0,   -1,   45,   75,    5
  260,19910206,   65,   69,  497,    0,   -1,   40,   70,    2
  260,19910207,    0,    0,  249,    0,   -1,   22,   58,    5
  260,19910208,    0,    0,  189,    2,    2,   12,   45,    5
  260,19910209,   57,   60,  572,    0,    0,   16,   36,    3
  260,19910210,    0,    0,  404,    0,   -1,    9,   25,    7
  260,19910211,    0,    0,  245,   42,   31,    2,   33,    8
  260,19910212,   28,   29,  602,   30,    3,   10,   60,    6
  260,19910213,   47,   48,  636,   29,    9,    4,   70,    6
  260,19910214,    0,    0,  411,   16,    6,    1,   59,    5
  260,19910215,    0,    0,  121,   98,   99,    4,   62,    8
  260,19910216,   43,   43,  623,    0,   -1,   50,   75,    5
  260,19910217,   73,   73,  837,    0,    0,   30,   57,    5
  260,19910218,    0,    0,  303,    0,    0,    5,   65,    7
  260,19910219,   90,   88,  995,    0,    0,    9,   62,    0
  260,19910220,   23,   22,  479,    0,   -1,    0,   35,    5
  260,19910221,    0,    0,  219,    0,   -1,    0,   60,    8
  260,19910222,   46,   44,  711,   28,    9,   59,   75,    5
  260,19910223,    0,    0,  175,    6,    1,   57,   75,    8
  260,19910224,   55,   52,  873,    0,    0,   58,   65,    4
  260,19910225,   33,   31,  665,   10,    2,    0,   59,    6
  260,19910226,   69,   65,  973,    0,    0,    1,   59,    4
  260,19910227,   16,   15,  406,    0,    0,    2,   61,    5
  260,19910228,    0,    0,   93,   26,   15,    5,   60,    8
  260,19910301,   20,   18,  625,   40,   29,    0,   45,    8
  260,19910302,    0,    0,  335,   70,   41,   11,   28,    8
  260,19910303,   39,   36,  793,    0,   -1,   24,   75,    5
  260,19910304,   54,   49,  952,    0,   -1,   45,   70,    5
  260,19910305,    0,    0,  314,   80,   48,   15,   57,    8
  260,19910306,   26,   23,  762,    6,    6,   45,   62,    5
  260,19910307,   11,   10,  603,    0,   -1,   56,   65,    6
  260,19910308,    0,    0,  473,    0,   -1,   40,   57,    8
  260,19910309,    0,    0,  325,    0,   -1,   30,   62,    8
  260,19910310,   58,   51, 1008,    0,   -1,   50,   70,    6
  260,19910311,   12,   10,  603,    0,   -1,   15,   60,    7
