"Housing characteristics";"Periods";"Regions";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)"
"Apartment";"2017";"Limburg (PV)";"     890";"    2040"
"Apartment";"2018";"Limburg (PV)";"     880";"    2020"
"Apartment";"2019";"Limburg (PV)";"     830";"    1980"
"Apartment";"2020";"Limburg (PV)";"     800";"    1980"
"Apartment";"2021";"Limburg (PV)";"     900";"    2020"
"Apartment";"2022*";"Limburg (PV)";"     720";"    1960"
"Owner-occupied house";"2010";"The Netherlands";"       .";"       ."
"Owner-occupied house";"2011";"The Netherlands";"       .";"       ."
"Owner-occupied house";"2012";"The Netherlands";"    1750";"    3750"
"Owner-occupied house";"2013";"The Netherlands";"    1850";"    3700"
"Owner-occupied house";"2014";"The Netherlands";"    1400";"    3550"
"Owner-occupied house";"2015";"The Netherlands";"    1480";"    3480"
"Owner-occupied house";"2016";"The Netherlands";"    1530";"    3400"
"Owner-occupied house";"2017";"The Netherlands";"    1470";"    3330"
"Owner-occupied house";"2018";"The Netherlands";"    1480";"    3250"
"Owner-occupied house";"2019";"The Netherlands";"    1370";"    3180"
"Owner-occupied house";"2020";"The Netherlands";"    1300";"    3230"
"Owner-occupied house";"2021";"The Netherlands";"    1470";"    3300"
"Owner-occupied house";"2022*";"The Netherlands";"    1140";"    3090"
"Owner-occupied house";"2010";"Groningen (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Groningen (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Groningen (PV)";"    2050";"    3550"
"Owner-occupied house";"2013";"Groningen (PV)";"    2200";"    3500"
"Owner-occupied house";"2014";"Groningen (PV)";"    1650";"    3350"
"Owner-occupied house";"2015";"Groningen (PV)";"    1730";"    3250"
"Owner-occupied house";"2016";"Groningen (PV)";"    1820";"    3160"
"Owner-occupied house";"2017";"Groningen (PV)";"    1710";"    3060"
"Owner-occupied house";"2018";"Groningen (PV)";"    1740";"    2990"
"Owner-occupied house";"2019";"Groningen (PV)";"    1570";"    2870"
"Owner-occupied house";"2020";"Groningen (PV)";"    1530";"    2960"
"Owner-occupied house";"2021";"Groningen (PV)";"    1720";"    3030"
"Owner-occupied house";"2022*";"Groningen (PV)";"    1330";"    2840"
"Owner-occupied house";"2010";"Fryslân (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Fryslân (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Fryslân (PV)";"    1950";"    3450"
"Owner-occupied house";"2013";"Fryslân (PV)";"    2050";"    3300"
"Owner-occupied house";"2014";"Fryslân (PV)";"    1550";"    3200"
"Owner-occupied house";"2015";"Fryslân (PV)";"    1640";"    3130"
"Owner-occupied house";"2016";"Fryslân (PV)";"    1720";"    3010"
"Owner-occupied house";"2017";"Fryslân (PV)";"    1620";"    2910"
"Owner-occupied house";"2018";"Fryslân (PV)";"    1660";"    2820"
"Owner-occupied house";"2019";"Fryslân (PV)";"    1520";"    2910"
"Owner-occupied house";"2020";"Fryslân (PV)";"    1470";"    3020"
"Owner-occupied house";"2021";"Fryslân (PV)";"    1650";"    3090"
"Owner-occupied house";"2022*";"Fryslân (PV)";"    1280";"    2910"
"Owner-occupied house";"2010";"Drenthe (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Drenthe (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Drenthe (PV)";"    2150";"    3850"
"Owner-occupied house";"2013";"Drenthe (PV)";"    2250";"    3800"
"Owner-occupied house";"2014";"Drenthe (PV)";"    1700";"    3600"
"Owner-occupied house";"2015";"Drenthe (PV)";"    1780";"    3510"
"Owner-occupied house";"2016";"Drenthe (PV)";"    1880";"    3440"
"Owner-occupied house";"2017";"Drenthe (PV)";"    1790";"    3360"
"Owner-occupied house";"2018";"Drenthe (PV)";"    1800";"    3290"
"Owner-occupied house";"2019";"Drenthe (PV)";"    1640";"    3170"
"Owner-occupied house";"2020";"Drenthe (PV)";"    1570";"    3210"
"Owner-occupied house";"2021";"Drenthe (PV)";"    1760";"    3290"
"Owner-occupied house";"2022*";"Drenthe (PV)";"    1370";"    3110"
"Owner-occupied house";"2010";"Overijssel (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Overijssel (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Overijssel (PV)";"    2000";"    3950"
"Owner-occupied house";"2013";"Overijssel (PV)";"    2100";"    3850"
"Owner-occupied house";"2014";"Overijssel (PV)";"    1500";"    3700"
"Owner-occupied house";"2015";"Overijssel (PV)";"    1600";"    3610"
"Owner-occupied house";"2016";"Overijssel (PV)";"    1660";"    3530"
"Owner-occupied house";"2017";"Overijssel (PV)";"    1620";"    3460"
"Owner-occupied house";"2018";"Overijssel (PV)";"    1620";"    3390"
"Owner-occupied house";"2019";"Overijssel (PV)";"    1470";"    3270"
"Owner-occupied house";"2020";"Overijssel (PV)";"    1400";"    3310"
"Owner-occupied house";"2021";"Overijssel (PV)";"    1620";"    3390"
"Owner-occupied house";"2022*";"Overijssel (PV)";"    1270";"    3190"
"Owner-occupied house";"2010";"Flevoland (PV)";"       .";"       ."
"Owner-occupied house";"2011";"Flevoland (PV)";"       .";"       ."
"Owner-occupied house";"2012";"Flevoland (PV)";"    1050";"    4000"
"Owner-occupied house";"2013";"Flevoland (PV)";"    1150";"    3850"
