variant,strategy,horizon,mape,n,delta_vs_v0,delta_vs_oracle
V4_pub_lag,PCA,7,4.640637238392469,50,-0.09131116927524818,0.2214372383924692
V4_pub_lag,PCA,30,4.5303671906425675,50,-0.015041156603030181,-0.0019328093574326743
V4_pub_lag,PCA,90,5.019898151710258,50,-0.05083786876898433,0.025498151710258377
V4_pub_lag,PCA,180,4.3564342155823415,50,-0.0677623027234695,-0.1016657844176585
V0_baseline,Ridge,1,2.720214286932102,50,0.0,0.284814286932102
V0_baseline,Ridge,3,3.8193344711568966,50,0.0,0.48853447115689663
V0_baseline,Ridge,7,4.133160517836945,50,0.0,-0.14343948216305513
V0_baseline,Ridge,30,4.639570897743137,50,0.0,-0.16362910225686367
V0_baseline,Ridge,90,5.295827255669472,50,0.0,-0.06077274433052793
V0_baseline,Ridge,180,5.407373902011084,50,0.0,0.29487390201108443
V1_nwp_proxy,Ridge,1,2.4440696030397646,50,-0.2761446838923374,0.008669603039764606
V1_nwp_proxy,Ridge,3,3.356394168271601,50,-0.46294030288529564,0.025594168271600992
V1_nwp_proxy,Ridge,7,4.133160517836945,50,0.0,-0.14343948216305513
V1_nwp_proxy,Ridge,30,4.639570897743137,50,0.0,-0.16362910225686367
V1_nwp_proxy,Ridge,90,5.295827255669472,50,0.0,-0.06077274433052793
V1_nwp_proxy,Ridge,180,5.407373902011084,50,0.0,0.29487390201108443
V2_ar_decay,Ridge,1,2.5740596134718787,50,-0.14615467346022326,0.13865961347187872
V2_ar_decay,Ridge,3,3.6244175839179835,50,-0.1949168872389131,0.29361758391798354
V2_ar_decay,Ridge,7,4.340908834682068,50,0.20774831684512307,0.06430883468206794
V2_ar_decay,Ridge,30,4.653186664848549,50,0.01361576710541268,-0.150013335151451
V2_ar_decay,Ridge,90,5.2986785139326935,50,0.0028512582632211902,-0.05792148606730674
V2_ar_decay,Ridge,180,5.413163983478818,50,0.005790081467734076,0.3006639834788185
V3_trend_clim,Ridge,1,2.720214286932102,50,0.0,0.284814286932102
V3_trend_clim,Ridge,3,3.8193344711568966,50,0.0,0.48853447115689663
V3_trend_clim,Ridge,7,4.133160517836945,50,0.0,-0.14343948216305513
V3_trend_clim,Ridge,30,4.6558062477518645,50,0.016235350008727778,-0.1473937522481359
V3_trend_clim,Ridge,90,5.3097124987871105,50,0.013885243117638169,-0.04688750121288976
V3_trend_clim,Ridge,180,5.422761183262674,50,0.015387281251589613,0.31026118326267405
V4_pub_lag,Ridge,1,2.7401946466947087,50,0.019980359762606703,0.3047946466947087
V4_pub_lag,Ridge,3,3.8614854404607315,50,0.042150969303834884,0.5306854404607315
V4_pub_lag,Ridge,7,4.397544632140754,50,0.2643841143038088,0.12094463214075368
